Datetime,Open,High,Low,Close,% Change,Volume
2024-01-18 15:30:00,211.61,212.0,210.83,211.8,0.09%,6820931
2024-01-19 09:30:00,209.99,213.19,208.9,210.02,0.01%,29389487
2024-01-19 10:30:00,210.0,210.63,208.19,209.35,-0.31%,17953701
2024-01-19 11:30:00,209.34,209.48,207.56,209.3,-0.02%,12621094
2024-01-19 12:30:00,209.3,210.73,208.82,210.66,0.65%,10248404
2024-01-19 13:30:00,210.67,211.98,210.23,211.58,0.43%,9433263
2024-01-19 14:30:00,211.57,212.82,210.69,211.6,0.01%,12373451
2024-01-19 15:30:00,211.62,212.26,210.82,212.17,0.26%,6739589
2024-01-22 09:30:00,212.25,217.8,210.11,212.71,0.22%,35280778
2024-01-22 10:30:00,212.71,212.74,208.75,209.2,-1.65%,23612719
2024-01-22 11:30:00,209.23,210.53,208.59,210.15,0.44%,11817756
2024-01-22 12:30:00,210.18,210.4,207.62,207.8,-1.13%,11203065
2024-01-22 13:30:00,207.81,209.2,206.27,206.94,-0.42%,13117201
2024-01-22 14:30:00,206.93,209.66,206.59,209.41,1.20%,11640452
2024-01-22 15:30:00,209.43,209.58,208.61,208.75,-0.33%,7417726
2024-01-23 09:30:00,211.3,215.65,210.58,211.26,-0.02%,36119303
2024-01-23 10:30:00,211.26,211.85,209.44,209.74,-0.72%,17955575
2024-01-23 11:30:00,209.74,210.18,208.46,208.78,-0.46%,12002644
2024-01-23 12:30:00,208.76,209.6,208.26,208.32,-0.21%,9964318
2024-01-23 13:30:00,208.33,209.29,207.75,208.68,0.17%,11331526
2024-01-23 14:30:00,208.51,209.67,208.34,209.15,0.31%,8826781
2024-01-23 15:30:00,209.16,209.24,208.28,209.13,-0.01%,6608151
2024-01-24 09:30:00,211.88,212.73,208.56,210.03,-0.87%,30117905
2024-01-24 10:30:00,210.1,212.48,209.98,211.05,0.45%,16481795
2024-01-24 11:30:00,211.06,211.73,210.0,211.71,0.31%,11432940
2024-01-24 12:30:00,211.72,211.82,210.01,210.84,-0.42%,10320631
2024-01-24 13:30:00,210.88,211.07,208.12,208.45,-1.15%,12912991
2024-01-24 14:30:00,208.43,209.4,206.91,207.11,-0.63%,13465828
2024-01-24 15:30:00,207.13,208.32,206.77,207.76,0.30%,9367148
2024-01-25 09:30:00,189.0,193.0,186.0,187.14,-0.98%,70997069
2024-01-25 10:30:00,187.13,187.39,185.0,186.37,-0.40%,26437743
2024-01-25 11:30:00,186.37,186.43,180.86,180.93,-2.92%,26063674
2024-01-25 12:30:00,180.93,182.08,180.06,181.94,0.56%,23519514
2024-01-25 13:30:00,181.92,182.68,180.21,181.59,-0.18%,17372669
2024-01-25 14:30:00,181.6,183.49,181.2,182.25,0.36%,17006951
2024-01-25 15:30:00,182.27,183.19,182.22,182.56,0.16%,11003488
2024-01-26 09:30:00,185.5,186.78,182.5,183.84,-0.89%,39118435
2024-01-26 10:30:00,183.85,185.66,183.53,184.04,0.10%,16907810
2024-01-26 11:30:00,184.05,185.18,183.86,184.11,0.03%,10872421
2024-01-26 12:30:00,184.1,184.22,182.7,183.48,-0.34%,10801008
2024-01-26 13:30:00,183.49,183.63,182.1,182.28,-0.66%,8946872
