security,ticker,McapRank,TurnRank,VolatilityRank,PriceRank,LitVol,OrderVol,Hidden,TradesForHidden,HiddenVol,TradeVolForHidden,Cancels,LitTrades,OddLots,TradesForOddLots,OddLotVol,TradeVolForOddLots,Cancel_to_Trade,Trade_to_Order_Volume,Hidden_Rate,Hidden_Volume,Oddlot_Rate,Oddlot_Volume,date,qtr
Stock,MSFT,10,5,3,10,10316.693,436346.844,43448,243174,2240.939,12557.632,5361089,198597,183329,242008,4526.745,12484.377,26.99481362,2.364333131,17.86704171,17.84523547,75.75328088,36.2592783,23/1/2023,31/3/2023
Stock,MSFT,10,6,3,10,9050.445,275832.29,49377,226549,2155.794,11206.239,3735623,175639,172122,224950,3858.857,11134.429,21.2687558,3.281140508,21.79528491,19.23744443,76.51567015,34.65698151,24/1/2023,31/3/2023
Stock,MSFT,10,8,5,10,17933.959,315871.926,76949,401999,5449.827,23383.786,4867660,324069,290553,400918,6563.193,23319.572,15.02044318,5.6776046,19.1415899,23.30600785,72.47192693,28.14456886,25/1/2023,31/3/2023
Stock,MSFT,10,6,4,10,10640.974,446082.416,42726,229944,2008.796,12649.77,5753322,186625,166042,229317,3908.358,12601.654,30.82824916,2.385427809,18.58104582,15.88009901,72.40719179,31.014643,26/1/2023,31/3/2023
Stock,MSFT,10,5,3,10,9311.692,449925.852,38315,200348,1749.827,11061.519,5151762,161182,145862,199454,3531.614,11017.8,31.96239034,2.069605905,19.12422385,15.819048,73.13064667,32.05371308,27/1/2023,31/3/2023
Stock,MSFT,10,4,3,10,8716.277,429348.644,28502,174604,1824.059,10540.336,5294620,145547,122640,174009,2909.422,10493.561,36.37739012,2.030116345,16.32379556,17.30551094,70.47911315,27.72578346,30/1/2023,31/3/2023
Stock,MSFT,10,4,2,10,6574.361,455393.174,25463,141905,1410.968,7985.329,4472886,115462,103699,140896,2443.26,7916.273,38.73903102,1.443667006,17.94369473,17.66950366,73.59967636,30.86376632,31/1/2023,31/3/2023
Stock,MSFT,10,4,3,10,12310.603,645882.155,43494,248080,2011.54,14322.143,7183506,203787,174674,247203,4266.037,14250.155,35.25006993,1.906013799,17.53224766,14.0449652,70.66014571,29.93677613,1/2/2023,31/3/2023
Stock,MSFT,10,5,3,10,14852.673,821343.719,51766,310583,2760.101,17612.774,8942728,256951,221961,308614,5448.066,17447.436,34.80324264,1.808338295,16.66736428,15.67101809,71.921883,31.2255967,2/2/2023,31/3/2023
Stock,MSFT,10,4,4,10,11596.654,673298.36,44924,248345,2098.338,13694.992,7853428,202543,177865,247391,4293.731,13632.725,38.77412698,1.722364807,18.08935151,15.32193666,71.89630989,31.49576479,3/2/2023,31/3/2023
Stock,MSFT,10,4,2,10,6809.145,600666.692,32856,160218,1370.306,8179.451,6247258,126741,117799,159559,2742.177,8122.674,49.29153155,1.133597899,20.50705913,16.75303147,73.82786305,33.75953535,6/2/2023,31/3/2023
Stock,MSFT,10,7,5,10,16824.562,532624.78,68322,373821,3798.964,20623.526,7069982,304541,273453,372761,6763.267,20535.073,23.21520583,3.158801962,18.27666183,18.42053585,73.35880095,32.93519823,7/2/2023,31/3/2023
Stock,MSFT,10,7,5,10,17116.253,586735.305,69020,366873,3666.972,20783.225,6969528,296421,265387,365361,6265.779,20639.113,23.51226128,2.917201821,18.81304975,17.64390272,72.63692622,30.35876106,8/2/2023,31/3/2023
Stock,MSFT,10,6,3,10,11709.939,491830.677,57769,281929,2993.854,14703.793,6186573,223494,210388,281215,4810.945,14661.693,27.68115923,2.380888291,20.49061998,20.36110002,74.8139324,32.81302507,9/2/2023,31/3/2023
Stock,MSFT,10,4,3,10,8389.367,520572.243,33100,197875,1483.7,9873.067,5946372,163817,149929,196857,3359.022,9785.099,36.29887008,1.611566332,16.72773215,15.02775176,76.16137602,34.32793066,10/2/2023,31/3/2023
Stock,MSFT,10,7,3,10,13498.558,530166.786,48223,270454,2419.238,15917.796,5328830,220312,193015,268438,4752.521,15722.017,24.18765206,2.546096503,17.8303889,15.19832268,71.90300926,30.22844334,13/2/2023,31/3/2023
Stock,MSFT,10,6,4,10,12094.609,486678.668,51288,280452,2757.469,14852.078,6473769,228442,210730,279631,4880.937,14790.456,28.33878621,2.485132346,18.28762141,18.5662168,75.36002804,33.00058497,14/2/2023,31/3/2023
Stock,MSFT,10,5,3,10,8608.826,499495.336,39929,210345,3166.8,11775.626,5970199,169497,160542,209401,3553.022,11694.176,35.2230364,1.723504782,18.98262379,26.8928378,76.66725565,30.3828333,15/2/2023,31/3/2023
Stock,MSFT,10,5,3,10,10687.469,686700.568,41302,229317,1778.865,12466.334,7641411,186495,165747,227705,3980.948,12320.19,40.97381163,1.556350686,18.01087578,14.26935136,72.79023298,32.31239129,16/2/2023,31/3/2023
Stock,MSFT,10,5,3,10,10596.146,502771.236,44758,239708,1834.815,12430.961,6405246,193897,177102,238618,4236.701,12349.166,33.03427077,2.107548173,18.67188413,14.76004148,74.21988283,34.30758806,17/2/2023,31/3/2023
