sweep_id,sweep_idx,timestamp,timestamp_str,sweep_type,zone_idx,zone_level,zone_level_str,sweep_quality_score,zone_state_at_sweep,zone_id,zone_top,zone_bottom,sweep_low,reversal_price,reversal_distance,candle_body,candle_total_range,wick_ratio,lower_wick,upper_wick,pin_bar_bull,pin_bar_bear,volume,volume_spike,volume_zscore,vol_surge,reversal_pattern,mss_confirmed,days_old_at_sweep,sweep_freshness,sweep_maturity,midas_filtered,zone_touch_count,zone_sweep_count,avg_volume,volume_node_score,avg_absorption,volume_confirmation,cancel_to_trade_avg,hidden_rate_avg,hidden_volume_avg,fill_rate_avg,oddlot_rate_avg,oddlot_volume_avg,sweep_high,cutoff_date,outcome,forward_close,forward_pct_move,forward_bars,max_favourable,max_adverse
0_BUL_20220404_0930_368.61,0,2022-04-04 09:30:00,20220404_0930,BULLISH,1,368.6059539794922,368.61,88,active,2022-01-13_to_2022-01-13,375.12738342285155,368.6059539794922,357.67,369.33,11.659999999999968,6.199999999999989,11.829999999999984,1.9080645161290333,5.4599999999999795,0.17000000000001592,True,False,23922174.0,True,3.140376141988794,True,1,True,81,0.0,stale,True,0,0,97209900.0,157435800.0,3.2567874508588845,1.0,2.9375281147427335,44.311921051,35.823955034,1.4411841206864564,93.077204509,58.487664158,,2022-04-04,WIN,363.72,-1.5189667776784872,13,4.023502017166224,-1.8682479083746182
4_BUL_20220510_1130_260.73,4,2022-05-10 11:30:00,20220510_1130,BULLISH,3,260.73036193847656,260.73,64,active,2022-01-28_to_2022-01-28,267.2762908935547,260.73036193847656,260.09,263.47,3.3800000000000523,1.9500000000000455,5.740000000000009,2.9435897435896794,1.4300000000000068,2.359999999999957,True,True,9637329.0,False,-0.3266702008981736,False,0,False,102,0.0,stale,True,0,0,134789100.0,356409900.0,10.545513657863477,1.0,2.485835244593693,43.359335586,37.533433063,2.0656853697482216,92.181888401,57.46744934,,2022-05-10,LOSS,244.79,-7.089991270353374,11,3.4235396819372155,-7.99711542111057
13_BUL_20220701_1230_223.29,13,2022-07-01 12:30:00,20220701_1230,BULLISH,5,223.2942072732108,223.29,61,active,2022-05-12_to_2022-05-12,230.0391362326486,223.2942072732108,222.12,223.57,1.4499999999999886,0.9200000000000159,2.4199999999999875,2.6304347826086367,1.4499999999999886,0.04999999999998295,True,False,10637185.714285715,False,-0.593303712285371,False,1,False,50,0.0,stale,True,0,0,140313000.0,958608900.0,10.019871531114266,1.0,2.6923084615090014,41.013999354,36.774513316,1.85845004829254,91.338461154,52.293841279,,2022-07-01,WIN,227.26,1.6504897794874078,3,1.6504897794874078,-0.35782976249048754
14_BUL_20220701_1330_223.29,14,2022-07-01 13:30:00,20220701_1330,BULLISH,5,223.2942072732108,223.29,53,active,2022-05-12_to_2022-05-12,230.0391362326486,223.2942072732108,222.77,224.01,1.2399999999999807,0.5699999999999932,1.9299999999999784,3.3859649122807043,0.6699999999999875,0.6899999999999977,True,True,10637185.714285715,False,-0.6611232688610347,False,1,False,50,0.0,stale,True,0,0,140313000.0,958608900.0,10.019871531114266,1.0,2.6923084615090014,41.013999354,36.774513316,1.85845004829254,91.338461154,52.293841279,,2022-07-01,WIN,227.26,1.4508280880317843,2,1.4508280880317843,-0.08481764206954946
15_BEA_20220706_0930_230.04,15,2022-07-06 09:30:00,20220706_0930,BEARISH,5,230.0391362326486,230.04,64,active,2022-05-12_to_2022-05-12,230.0391362326486,223.2942072732108,,229.3,5.149999999999977,1.549999999999983,6.949999999999989,4.483870967741978,1.8000000000000114,3.5999999999999943,True,True,395271.0,False,-3.8893052182948766,False,0,False,55,0.0,stale,True,0,0,140313000.0,958608900.0,10.019871531114266,1.0,2.6923084615090014,41.013999354,36.774513316,1.85845004829254,91.338461154,52.293841279,234.45,2022-07-06,LOSS,244.54,6.646314871347571,13,0.8329699084169319,-6.986480593109455
31_BUL_20220727_0930_267.93,31,2022-07-27 09:30:00,20220727_0930,BULLISH,6,267.9314549037388,267.93,82,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,261.99,269.23,7.240000000000009,4.460000000000036,8.079999999999984,1.8116591928250938,2.7799999999999727,0.839999999999975,True,False,24653850.0,True,2.329079448626933,True,0,True,296,0.0,stale,True,0,0,91449900.0,387343500.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-07-27,LOSS,280.9,4.334583813096593,13,5.214872042491536,-0.5348586710247735
32_BUL_20220727_1030_267.93,32,2022-07-27 10:30:00,20220727_1030,BULLISH,6,267.9314549037388,267.93,61,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,267.79,268.7,0.9099999999999682,0.5099999999999909,2.519999999999982,4.941176470588288,0.9099999999999682,1.1000000000000227,True,True,9939861.0,False,0.064774799239992,False,0,True,296,0.0,stale,True,0,0,91449900.0,387343500.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-07-27,LOSS,280.9,4.540379605507997,12,5.42240416821734,-0.10420543356902597
33_BUL_20220901_1230_267.93,33,2022-09-01 12:30:00,20220901_1230,BULLISH,6,267.9314549037388,267.93,54,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,267.33,269.95,2.6200000000000045,1.5699999999999932,2.8700000000000045,1.8280254777070173,1.0500000000000114,0.25,True,False,5045270.0,False,-0.5395304312806801,False,0,False,332,0.0,stale,True,0,0,91449900.0,387343500.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-09-01,LOSS,270.21,0.09631413224670898,10,4.3859974069272205,-0.46675310242637197
34_BUL_20220930_0930_267.93,34,2022-09-30 09:30:00,20220930_0930,BULLISH,6,267.9314549037388,267.93,80,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,262.61,271.38,8.769999999999982,6.089999999999975,9.259999999999991,1.5205254515599391,2.680000000000007,0.4900000000000091,True,False,20310969.0,True,2.292145942868952,True,0,False,361,0.0,stale,True,0,0,91449900.0,515854200.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-09-30,LOSS,265.25,-2.2588252634681982,6,1.5144815388016855,-2.3251529221018505
16_BUL_20221007_1230_223.29,16,2022-10-07 12:30:00,20221007_1230,BULLISH,5,223.2942072732108,223.29,59,active,2022-05-12_to_2022-05-12,230.0391362326486,223.2942072732108,222.11,223.92,1.8099999999999739,1.0999999999999943,2.3899999999999864,2.1727272727272715,0.7099999999999795,0.5800000000000125,True,True,11519554.0,False,0.07312337986458467,False,1,False,148,0.0,stale,True,0,0,140313000.0,958608900.0,10.019871531114266,1.0,2.6923084615090014,41.013999354,36.774513316,1.85845004829254,91.338461154,52.293841279,,2022-10-07,LOSS,223.07,-0.379599857091816,3,0.48231511254019854,-0.848517327616996
